key_i,key_j,roles,ransac_inliers,selected_matches,rmse_initial,rmse_affine,rmse_projective,median_projective,p95_projective
left:16,right:16,intra_pair,7695,40,818.9555346288929,2.1014532141194655,0.9297333539312252,0.7060411747250116,1.67521139421841
left:17,right:17,intra_pair,7669,40,9.188786567185836,1.4419703891269147,1.6409992270911657,1.1775964841093716,3.3484904340063055
left:18,right:18,intra_pair,7801,40,681.4656470309666,1.9467248521086804,1.8947553472494223,1.2449238657356057,3.7216966674049594
left:19,right:19,intra_pair,7763,40,3.8698874306545257,1.6885127832570999,4.432556085963371,3.4494963740308804,8.972099333578567
left:20,right:20,intra_pair,7731,40,139.9646929352008,6.588721981143873,5.333771349505852,2.272620755941037,10.344808852730523
left:21,right:21,intra_pair,7772,40,116.76017264561351,1.4719678705732544,2.645103124114277,2.0937193856268017,4.343980328480612
left:22,right:22,intra_pair,7684,40,100.75845944675008,2.2842250907829436,2.0618756703958443,1.61767262751683,3.7642554158997665
left:23,right:23,intra_pair,7636,40,195.17960828595034,7.594374782070985,1.650902954565849,1.4728539181310778,2.6469259867702353
left:24,right:24,intra_pair,7758,40,82.49956102867712,12.851749691351824,1.5130711400954173,1.28210487811216,2.5948176038706134
left:25,right:25,intra_pair,7825,40,50.59150648616464,3.5750091702844875,3.3426304302635144,1.3619167804505385,7.731939986309404
left:26,right:26,intra_pair,7940,40,28.69887810315502,5.883494498469431,2.692984979398631,1.6060805684297073,5.326924090637283
left:27,right:27,intra_pair,8162,40,2.471051218142718,9.689027905864496,1.394950638597049,0.7756295960675317,2.8939462952007733
